date,ticker,ordinary_shares_number,net_debt,total_assets,current_liabilities,stockholders_equity,extraction_timestamp
2024-01-31,NVDA,24640000000.0,2429000000.0,65728000000.0,10631000000.0,42978000000.0,2024-11-01 20:27:52
2023-01-31,NVDA,24661365720.0,7564000000.0,41182000000.0,6563000000.0,22101000000.0,2024-11-01 20:27:52
2022-01-31,NVDA,25060000000.0,8956000000.0,44187000000.0,4335000000.0,26612000000.0,2024-11-01 20:27:52
2021-01-31,NVDA,24800000000.0,6116000000.0,28791000000.0,3925000000.0,16893000000.0,2024-11-01 20:27:52
2020-01-31,NVDA,,,,,,2024-11-01 20:27:52
2024-06-30,MSFT,7434000000.0,33315000000.0,512163000000.0,125286000000.0,268477000000.0,2024-11-01 20:27:52
2023-06-30,MSFT,7432000000.0,12533000000.0,411976000000.0,104149000000.0,206223000000.0,2024-11-01 20:27:52
2022-06-30,MSFT,7464000000.0,35850000000.0,364840000000.0,95082000000.0,166542000000.0,2024-11-01 20:27:52
2021-06-30,MSFT,7519000000.0,43922000000.0,333779000000.0,88657000000.0,141988000000.0,2024-11-01 20:27:52
2023-10-31,AVGO,4140000000.0,24991000000.0,72861000000.0,7405000000.0,23988000000.0,2024-11-01 20:27:52
2022-10-31,AVGO,4180000000.0,27040000000.0,73249000000.0,7052000000.0,22709000000.0,2024-11-01 20:27:52
2021-10-31,AVGO,4130000000.0,27502000000.0,75570000000.0,6281000000.0,24989000000.0,2024-11-01 20:27:52
2020-10-31,AVGO,4070000000.0,33444000000.0,75933000000.0,6371000000.0,23901000000.0,2024-11-01 20:27:52
2024-05-31,ORCL,2755000000.0,76415000000.0,140976000000.0,31544000000.0,8704000000.0,2024-11-01 20:27:53
2023-05-31,ORCL,2713000000.0,80716000000.0,134384000000.0,23090000000.0,1073000000.0,2024-11-01 20:27:53
2022-05-31,ORCL,2665000000.0,54499000000.0,109297000000.0,19511000000.0,-6220000000.0,2024-11-01 20:27:53
2021-05-31,ORCL,2814000000.0,54147000000.0,131107000000.0,24164000000.0,5238000000.0,2024-11-01 20:27:53
2020-05-31,ORCL,,,,,,2024-11-01 20:27:53
2024-01-31,DELL,706335200.0,18628000000.0,82089000000.0,48494000000.0,-2404000000.0,2024-11-01 20:27:53
2023-01-31,DELL,716000000.0,20981000000.0,89611000000.0,51654000000.0,-3122000000.0,2024-11-01 20:27:53
2022-01-31,DELL,757000000.0,17477000000.0,92735000000.0,56219000000.0,-1685000000.0,2024-11-01 20:27:53
2021-01-31,DELL,753000000.0,29714000000.0,123415000000.0,54132000000.0,2951000000.0,2024-11-01 20:27:53
2020-01-31,DELL,,,,,,2024-11-01 20:27:53
