date,ticker,operating_cash_flow,capital_expenditure,free_cash_flow,extraction_timestamp
2024-01-31,NVDA,28090000000.0,-1069000000.0,27021000000.0,2024-11-01 20:28:07
2023-01-31,NVDA,5641000000.0,-1833000000.0,3808000000.0,2024-11-01 20:28:07
2022-01-31,NVDA,9108000000.0,-976000000.0,8132000000.0,2024-11-01 20:28:07
2021-01-31,NVDA,5822000000.0,-1128000000.0,4694000000.0,2024-11-01 20:28:07
2020-01-31,NVDA,,,,2024-11-01 20:28:07
2024-06-30,MSFT,118548000000.0,-44477000000.0,74071000000.0,2024-11-01 20:28:07
2023-06-30,MSFT,87582000000.0,-28107000000.0,59475000000.0,2024-11-01 20:28:07
2022-06-30,MSFT,89035000000.0,-23886000000.0,65149000000.0,2024-11-01 20:28:07
2021-06-30,MSFT,76740000000.0,-20622000000.0,56118000000.0,2024-11-01 20:28:07
2020-06-30,MSFT,,,,2024-11-01 20:28:07
2023-10-31,AVGO,18085000000.0,-452000000.0,17633000000.0,2024-11-01 20:28:07
2022-10-31,AVGO,16736000000.0,-424000000.0,16312000000.0,2024-11-01 20:28:07
2021-10-31,AVGO,13764000000.0,-443000000.0,13321000000.0,2024-11-01 20:28:07
2020-10-31,AVGO,12061000000.0,-463000000.0,11598000000.0,2024-11-01 20:28:07
2024-05-31,ORCL,18673000000.0,-6866000000.0,11807000000.0,2024-11-01 20:28:07
2023-05-31,ORCL,17165000000.0,-8695000000.0,8470000000.0,2024-11-01 20:28:07
2022-05-31,ORCL,9539000000.0,-4511000000.0,5028000000.0,2024-11-01 20:28:07
2021-05-31,ORCL,15887000000.0,-2135000000.0,13752000000.0,2024-11-01 20:28:07
2020-05-31,ORCL,,,,2024-11-01 20:28:07
2024-01-31,DELL,8676000000.0,-2756000000.0,5920000000.0,2024-11-01 20:28:07
2023-01-31,DELL,3565000000.0,-3003000000.0,562000000.0,2024-11-01 20:28:07
2022-01-31,DELL,10307000000.0,-2796000000.0,7511000000.0,2024-11-01 20:28:07
2021-01-31,DELL,11407000000.0,-2082000000.0,9325000000.0,2024-11-01 20:28:07
2020-01-31,DELL,,,,2024-11-01 20:28:07
