holder,latitude,longitude,headquarters
Bank of America Corporation,35.22787,-80.84219,"100 North Tryon Street, Charlotte, NC 28255"
"Berkshire Hathaway, Inc",41.25724,-95.96544,"3555 Farnam Street, Omaha, NE 68131"
Blackrock Inc.,40.75443,-73.99963,"50 Hudson Yards, New York, NY 10001"
Capital International Investors,34.05364,-118.25315,"333 South Hope Street, Los Angeles, CA 90071"
Capital Research Global Investors,34.05364,-118.25315,"333 South Hope Street, Los Angeles, CA 90071"
Capital World Investors,34.05364,-118.25315,"333 South Hope Street, Los Angeles, CA 90071"
"Charles Schwab Investment Management, Inc.",37.79507,-122.39378,"211 Main Street, San Francisco, CA 94105"
"First Eagle Investment Management, LLC",40.76328,-73.9793,"1345 Avenue of the Americas, New York, NY 10105"
"Fisher Asset Management, LLC",33.01812,-96.84023,"6500 International Pkwy, Plano, TX 75093"
"FMR, LLC",42.35174,-71.05389,"245 Summer St, Boston, MA 02210"
"Geode Capital Management, LLC",42.3539,-71.05744,"100 Summer St, Boston, MA 02110"
JP Morgan Chase & Company,40.75621,-73.97428,"270 Park Ave, New York, NY 10017"
"Loomis Sayles & Company, LP",42.35239,-71.05635,"One Financial Center, Boston, MA 02111"
Morgan Stanley,40.76003,-73.98548,"1585 Broadway, New York, NY 10019"
Norges Bank Investment Management,59.90878,10.74239,"Bankplassen 2, 0107, 0151 Oslo"
Northern Trust Corporation,41.88123,-87.63237,"50 S La Salle St, Chicago, IL 60604"
Price (T.Rowe) Associates Inc,39.28729,-76.61279,"100 E Pratt St, Baltimore, MD 21202"
State Street Corporation,42.3627,-71.06005,"1 Congress St, Boston, MA 02114"
Vanguard Group Inc,40.05139,-75.5042,"100 Vanguard Blvd, Malvern, PA 19355"
