date,splits,ticker,extraction_timestamp
2000-06-27 00:00:00-04:00,2.0,NVDA,2024-11-01 20:27:40
2001-09-10 00:00:00-04:00,2.0,NVDA,2024-11-01 20:27:40
2006-04-07 00:00:00-04:00,2.0,NVDA,2024-11-01 20:27:40
2007-09-11 00:00:00-04:00,1.5,NVDA,2024-11-01 20:27:40
2021-07-20 00:00:00-04:00,4.0,NVDA,2024-11-01 20:27:40
2024-06-10 00:00:00-04:00,10.0,NVDA,2024-11-01 20:27:40
1987-09-21 00:00:00-04:00,2.0,MSFT,2024-11-01 20:27:40
1990-04-16 00:00:00-04:00,2.0,MSFT,2024-11-01 20:27:40
1991-06-27 00:00:00-04:00,1.5,MSFT,2024-11-01 20:27:40
1992-06-15 00:00:00-04:00,1.5,MSFT,2024-11-01 20:27:40
1994-05-23 00:00:00-04:00,2.0,MSFT,2024-11-01 20:27:40
1996-12-09 00:00:00-05:00,2.0,MSFT,2024-11-01 20:27:40
1998-02-23 00:00:00-05:00,2.0,MSFT,2024-11-01 20:27:40
1999-03-29 00:00:00-05:00,2.0,MSFT,2024-11-01 20:27:40
2003-02-18 00:00:00-05:00,2.0,MSFT,2024-11-01 20:27:40
2024-07-15 00:00:00-04:00,10.0,AVGO,2024-11-01 20:27:41
1987-03-25 00:00:00-05:00,2.0,ORCL,2024-11-01 20:27:41
1987-12-21 00:00:00-05:00,2.0,ORCL,2024-11-01 20:27:41
1989-07-03 00:00:00-04:00,2.0,ORCL,2024-11-01 20:27:41
1993-11-09 00:00:00-05:00,2.0,ORCL,2024-11-01 20:27:41
1995-02-23 00:00:00-05:00,1.5,ORCL,2024-11-01 20:27:41
1996-04-17 00:00:00-04:00,1.5,ORCL,2024-11-01 20:27:41
1997-08-18 00:00:00-04:00,1.5,ORCL,2024-11-01 20:27:41
1999-03-01 00:00:00-05:00,1.5,ORCL,2024-11-01 20:27:41
2000-01-19 00:00:00-05:00,2.0,ORCL,2024-11-01 20:27:41
2000-10-13 00:00:00-04:00,2.0,ORCL,2024-11-01 20:27:41
2018-12-28 00:00:00-05:00,1.806,DELL,2024-11-01 20:27:41
2021-11-02 00:00:00-04:00,1.973,DELL,2024-11-01 20:27:41
